LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Sunshine Duration;Wind Speed;Wind Direction;Temperature;Temperature;Relative Humidity;Relative Humidity;Wind Speed;Wind Speed
UNIT;;;;;°C;%;mm;min;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Sunshine Duration daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd]
1991;01;17;00;00;4.31;85.62;0.00;507.42;3.78;104.73;9.56;0.39;100.00;68.00;5.65;1.24
1991;01;18;00;00;2.77;83.71;0.00;541.33;3.83;121.75;7.20;-0.15;97.00;62.00;5.37;2.63
1991;01;19;00;00;3.12;81.25;1.00;143.54;5.99;183.06;9.31;-1.07;96.00;58.00;7.10;4.22
1991;01;20;00;00;3.41;89.75;0.00;0.00;4.30;179.30;5.64;2.15;96.00;76.00;5.86;1.39
1991;01;21;00;00;1.85;92.83;2.10;0.00;6.94;249.17;3.67;0.10;97.00;78.00;12.15;2.04
1991;01;22;00;00;2.75;90.29;0.00;0.00;9.66;76.17;4.99;1.12;97.00;79.00;16.87;3.14
1991;01;23;00;00;1.65;87.83;0.00;0.00;4.98;64.11;3.70;-0.05;97.00;71.00;6.46;3.91
1991;01;24;00;00;-0.10;87.58;0.00;191.20;6.32;76.09;2.40;-2.26;100.00;66.00;8.50;4.61
1991;01;25;00;00;1.27;86.46;0.00;255.80;4.28;85.80;5.09;-1.19;96.00;67.00;7.00;3.05
1991;01;26;00;00;1.93;86.54;0.00;332.57;3.21;86.27;8.02;-1.08;100.00;63.00;5.50;0.64
1991;01;27;00;00;0.34;92.33;0.00;0.00;6.95;61.24;2.97;-1.61;99.00;80.00;11.06;4.79
1991;01;28;00;00;0.79;85.17;0.00;200.34;5.02;75.23;4.74;-1.25;96.00;64.00;6.07;3.62
1991;01;29;00;00;0.76;84.58;0.00;386.98;3.52;101.73;6.69;-2.96;99.00;63.00;4.57;1.81
1991;01;30;00;00;0.93;84.12;0.00;381.49;4.76;89.21;5.55;-2.26;100.00;63.00;6.46;3.86
1991;01;31;00;00;1.47;83.46;0.00;573.86;2.93;133.84;7.70;-2.19;100.00;62.00;4.32;0.84
1991;02;01;00;00;1.99;82.17;0.00;576.56;3.12;104.21;7.51;-1.22;98.00;60.00;5.08;1.05
1991;02;02;00;00;3.15;81.42;0.00;556.96;3.78;126.70;9.86;-1.91;100.00;57.00;5.25;0.88
1991;02;03;00;00;3.98;76.38;0.00;421.65;3.14;152.24;9.20;0.17;93.00;55.00;6.30;1.02
1991;02;04;00;00;3.11;81.67;0.00;268.95;5.62;201.68;6.71;-1.18;100.00;63.00;11.32;1.26
1991;02;05;00;00;-1.79;80.42;0.10;345.32;20.66;62.12;0.58;-3.32;97.00;53.00;34.58;8.42
1991;02;06;00;00;-4.72;80.25;1.20;38.74;13.99;63.18;-3.40;-8.95;93.00;65.00;21.65;6.07
1991;02;07;00;00;-5.91;80.04;0.20;248.90;8.07;90.30;-0.40;-10.05;96.00;52.00;14.95;4.86
1991;02;08;00;00;-3.33;86.42;1.50;140.85;15.84;176.72;1.03;-6.06;96.00;71.00;43.94;4.98
1991;02;09;00;00;-1.08;93.71;7.90;0.00;7.08;130.60;2.06;-6.75;98.00;89.00;10.05;3.43
1991;02;10;00;00;0.95;91.12;5.30;108.00;21.63;237.55;2.81;-2.26;98.00;81.00;42.18;9.32
1991;02;11;00;00;-1.10;82.92;0.90;47.33;27.89;241.45;1.25;-4.69;93.00;74.00;38.95;17.35
1991;02;12;00;00;-0.63;89.96;4.10;0.00;25.13;265.62;1.29;-2.10;95.00;80.00;34.68;8.89
1991;02;13;00;00;-1.37;87.92;0.80;0.00;9.75;269.84;1.01;-2.76;93.00;77.00;12.43;4.88
1991;02;14;00;00;-1.25;86.67;1.10;9.57;10.16;259.52;1.22;-3.49;96.00;72.00;18.54;5.54
1991;02;15;00;00;-0.56;87.12;3.40;18.51;17.85;239.29;1.39;-2.07;95.00;72.00;28.17;11.66
1991;02;16;00;00;1.30;91.42;3.60;16.29;19.21;258.99;2.77;-0.33;100.00;81.00;28.44;1.82
1991;02;17;00;00;-0.17;87.83;0.00;444.69;7.32;71.32;3.69;-3.83;100.00;68.00;11.44;2.28
1991;02;18;00;00;1.70;90.79;1.30;0.00;4.19;100.55;6.27;-1.63;99.00;78.00;5.25;2.92
1991;02;19;00;00;5.79;87.33;0.00;419.75;3.38;121.91;13.31;1.06;100.00;65.00;4.98;0.93
1991;02;20;00;00;6.54;83.33;0.00;421.29;2.79;114.66;14.48;0.87;98.00;59.00;4.20;0.64
1991;02;21;00;00;7.54;84.21;0.00;353.67;2.83;174.26;14.72;2.51;100.00;61.00;4.46;1.70
1991;02;22;00;00;5.78;87.71;1.00;47.99;9.15;222.86;8.69;3.26;100.00;70.00;20.62;2.93
1991;02;23;00;00;7.04;78.00;0.00;100.70;6.31;180.78;12.72;1.04;100.00;49.00;8.84;4.30
1991;02;24;00;00;10.16;83.88;0.00;605.85;3.03;139.61;17.90;2.54;100.00;57.00;4.78;1.29
1991;02;25;00;00;11.09;84.21;0.00;212.91;4.14;141.73;19.64;5.08;100.00;54.00;6.00;1.00
1991;02;26;00;00;11.02;84.08;0.00;412.49;5.28;145.97;18.44;5.22;100.00;54.00;7.92;3.60
1991;02;27;00;00;11.15;79.21;0.00;431.42;3.68;91.62;19.59;4.96;100.00;55.00;5.02;1.58
1991;02;28;00;00;9.37;88.83;2.70;0.00;6.88;163.49;13.50;7.12;100.00;69.00;11.66;4.47
1991;03;01;00;00;8.48;85.29;0.00;162.30;4.83;56.89;11.80;5.64;99.00;66.00;8.99;1.21
1991;03;02;00;00;10.73;79.46;2.40;59.36;5.85;209.44;15.29;7.50;100.00;53.00;13.59;1.96
1991;03;03;00;00;10.02;87.67;3.40;29.49;6.54;199.10;14.75;7.70;100.00;63.00;9.97;2.16
1991;03;04;00;00;10.56;81.67;0.00;232.28;5.20;126.72;17.27;4.57;99.00;51.00;6.53;4.27
1991;03;05;00;00;10.79;89.38;0.00;0.00;5.92;133.18;15.71;5.73;100.00;71.00;8.27;3.12
1991;03;06;00;00;12.49;82.29;0.00;28.09;7.22;113.26;17.47;7.87;100.00;50.00;10.29;4.78
1991;03;07;00;00;11.65;82.46;0.00;13.40;7.34;97.67;17.33;7.31;100.00;55.00;9.55;5.64
1991;03;08;00;00;12.27;84.08;0.00;0.00;6.20;142.74;19.28;7.17;100.00;52.00;10.97;0.51
